Data Venda	Nome Cliente	Item	Preço Unitário	Quantidade	Desconto	 Valor Total 	Valor Desconto	 Valor Líquido 
08/02/2010	Cliente O189	ME1234	39,9	241	D00	 9.615,90 	0%	 9.615,90 
30/12/2010	Cliente O346	MO1545	269,9	47	D00	 12.685,30 	0%	 12.685,30 
29/05/2010	Cliente O516	MO1589	289,9	193	D00	 55.950,70 	0%	 55.950,70 
30/05/2010	Cliente O76	SP1991	129,9	113	D00	 14.678,70 	0%	 14.678,70 
30/01/2010	Cliente O611	SP1867	129,9	110	D03	 14.289,00 	15%	 12.145,65 
20/07/2010	Cliente O443	RL1075	219,9	110	D00	 24.189,00 	0%	 24.189,00 
18/08/2010	Cliente O317	CA1224	129,9	172	D02	 22.342,80 	10%	 20.108,52 
16/12/2010	Cliente O245	OC1109	259,9	49	D00	 12.735,10 	0%	 12.735,10 
20/11/2010	Cliente O429	ME1646	49,9	205	D00	 10.229,50 	0%	 10.229,50 
10/11/2010	Cliente O212	OC1255	290,9	146	D05	 42.471,40 	25%	 31.853,55 
06/05/2010	Cliente O422	BL1352	269,9	175	D00	 47.232,50 	0%	 47.232,50 
22/01/2010	Cliente O82	CA1199	219,9	158	D00	 34.744,20 	0%	 34.744,20 
15/07/2010	Cliente O471	ME1054	49,9	21	D04	 1.047,90 	20%	 838,32 
23/07/2010	Cliente O273	BL1011	269,9	20	D00	 5.398,00 	0%	 5.398,00 
20/09/2010	Cliente O543	CA1224	129,9	106	D00	 13.769,40 	0%	 13.769,40 
03/01/2010	Cliente O131	OC1505	259,9	11	D00	 2.858,90 	0%	 2.858,90 
22/01/2010	Cliente O237	SP1371	109,9	91	D00	 10.000,90 	0%	 10.000,90 
26/08/2010	Cliente O219	SP1922	169,9	249	D00	 42.305,10 	0%	 42.305,10 
22/09/2010	Cliente O239	RL1194	199,9	177	D00	 35.382,30 	0%	 35.382,30 
16/04/2010	Cliente O85	LE1180	49,9	81	D00	 4.041,90 	0%	 4.041,90 
30/11/2010	Cliente O354	ME1701	49,9	69	D00	 3.443,10 	0%	 3.443,10 
19/10/2010	Cliente O607	SP1895	89,9	201	D00	 18.069,90 	0%	 18.069,90 
29/10/2010	Cliente O233	MO1683	289,9	189	D00	 54.791,10 	0%	 54.791,10 
30/03/2010	Cliente O298	SP1195	159,9	91	D00	 14.550,90 	0%	 14.550,90 
15/09/2010	Cliente O152	SP1615	109,9	66	D00	 7.253,40 	0%	 7.253,40 
27/07/2010	Cliente O222	OC1183	450,9	166	D05	 74.849,40 	25%	 56.137,05 
14/05/2010	Cliente O541	ME1858	49,9	47	D01	 2.345,30 	5%	 2.228,04 
24/06/2010	Cliente O38	SP1895	89,9	11	D00	 988,90 	0%	 988,90 
30/01/2010	Cliente O502	MO1024	199,9	58	D00	 11.594,20 	0%	 11.594,20 
25/09/2010	Cliente O262	LE1157	49,9	249	D00	 12.425,10 	0%	 12.425,10 
22/06/2010	Cliente O119	ME1108	49,9	234	D00	 11.676,60 	0%	 11.676,60 
11/06/2010	Cliente O130	RL1174	309,9	73	D00	 22.622,70 	0%	 22.622,70 
15/05/2010	Cliente O34	SP1594	129,9	20	D00	 2.598,00 	0%	 2.598,00 
07/05/2010	Cliente O570	SP1652	109,9	53	D00	 5.824,70 	0%	 5.824,70 
08/08/2010	Cliente O372	OC1707	259,9	193	D00	 50.160,70 	0%	 50.160,70 
22/11/2010	Cliente O621	SP1911	159,9	48	D00	 7.675,20 	0%	 7.675,20 
20/12/2010	Cliente O269	RL1436	309,9	150	D01	 46.485,00 	5%	 44.160,75 
11/03/2010	Cliente O222	SP1009	109,9	46	D04	 5.055,40 	20%	 4.044,32 
21/12/2010	Cliente O289	RL1702	269,9	63	D00	 17.003,70 	0%	 17.003,70 
10/04/2010	Cliente O107	BL1358	219,09	122	D00	 26.728,98 	0%	 26.728,98 
27/10/2010	Cliente O56	BL1426	179,9	130	D00	 23.387,00 	0%	 23.387,00 
24/02/2010	Cliente O553	MO1420	289,9	61	D01	 17.683,90 	5%	 16.799,71 
05/10/2010	Cliente O445	LE1298	39,9	242	D00	 9.655,80 	0%	 9.655,80 
10/09/2010	Cliente O481	ME1533	39,9	93	D00	 3.710,70 	0%	 3.710,70 
18/12/2010	Cliente O590	BL1655	189,9	240	D03	 45.576,00 	15%	 38.739,60 
05/01/2010	Cliente O568	ME1582	49,9	169	D00	 8.433,10 	0%	 8.433,10 
04/03/2010	Cliente O260	OC1280	279,9	20	D00	 5.598,00 	0%	 5.598,00 
19/07/2010	Cliente O268	SP1788	109,9	65	D04	 7.143,50 	20%	 5.714,80 
21/04/2010	Cliente O555	CT1729	109,9	67	D00	 7.363,30 	0%	 7.363,30 
16/12/2010	Cliente O607	CA1648	169,9	219	D00	 37.208,10 	0%	 37.208,10 
13/12/2010	Cliente O85	CA1744	169,9	17	D00	 2.888,30 	0%	 2.888,30 
13/05/2010	Cliente O365	ME1779	39,9	65	D00	 2.593,50 	0%	 2.593,50 
