CodFuncionario;Genero;Faixa Etária;Tipo de Trabalho;Unidades;Centro de Custo;Data de Contratação;Situação;Tipo Pagamento;Motivo Demissão; Salário 
33624;Masculino;44;Contrato;Petrópolis - RJ;Pesquisa;04/08/1999;Inativo;Mensalista;Sem Justa Causa; R$ 9.983,41 
23596;Masculino;64;Tempo Integral;Nova Iguaçu - RJ;Pesquisa;09/11/1999;Ativo;Mensalista;Sem Justa Causa; R$ 5.734,54 
24052;Masculino;20;Contrato;Niterói - RJ;Manutenção;05/04/2000;Ativo;Mensalista;Sem Justa Causa; R$ 3.792,17 
33916;Feminino;26;Tempo Integral;Nova Iguaçu - RJ;Jurídico;07/06/2000;Ativo;Horista;Pedido de Demissão; R$ 7.194,31 
23424;Masculino;31;Tempo Integral;Macaé - RJ;RH;13/04/2001;Ativo;Horista;Sem Justa Causa; R$ 3.125,69 
22310;Feminino;70;Tempo Integral;Nova Iguaçu - RJ;Vendas e Marketing;08/07/2001;Ativo;Mensalista;Sem Justa Causa; R$ 8.021,62 
33568;Masculino;34;Tempo Integral;Petrópolis - RJ;Manutenção;28/08/2001;Ativo;Mensalista;Sem Justa Causa; R$ 6.083,30 
22390;Feminino;31;Tempo Integral;Petrópolis - RJ;Gerente Executivo;29/09/2001;Ativo;Mensalista;Sem Justa Causa; R$ 7.215,93 
22394;Feminino;47;Tempo Integral;Nova Iguaçu - RJ;Gerente Executivo;21/10/2001;Inativo;Mensalista;Sem Justa Causa; R$ 8.322,61 
23592;Masculino;27;Contrato;Macaé - RJ;Financeiro;25/10/2001;Ativo;Horista;Sem Justa Causa; R$ 5.920,45 
33350;Feminino;40;Tempo Integral;Arraial do Cabo - RJ;Operacional;23/07/2002;Ativo;Mensalista;Sem Justa Causa; R$ 9.505,11 
33264;Feminino;49;Tempo Integral;Nova Iguaçu - RJ;Gerente Executivo;12/08/2003;Ativo;Mensalista;Sem Justa Causa; R$ 8.170,98 
23706;Masculino;24;Tempo Integral;Nova Iguaçu - RJ;Financeiro;23/09/2003;Ativo;Mensalista;Sem Justa Causa; R$ 7.210,17 
24048;Masculino;57;Tempo Integral;Nova Iguaçu - RJ;Operacional;27/09/2003;Inativo;Mensalista;Sem Justa Causa; R$ 9.446,24 
22324;Feminino;29;Tempo Integral;Macaé - RJ;Manutenção;30/10/2003;Ativo;Horista;Sem Justa Causa; R$ 3.521,53 
33610;Feminino;46;Tempo Parcial;Macaé - RJ;Vendas e Marketing;26/02/2004;Ativo;Horista;Sem Justa Causa; R$ 4.093,08 
33850;Masculino;32;Tempo Parcial;Macaé - RJ;Financeiro;05/04/2004;Inativo;Mensalista;Pedido de Demissão; R$ 7.009,12 
22746;Masculino;42;Tempo Parcial;Arraial do Cabo - RJ;Gerente Executivo;07/05/2004;Inativo;Horista;Sem Justa Causa; R$ 9.498,14 
23288;Feminino;53;Tempo Parcial;Petrópolis - RJ;Financeiro;07/07/2004;Ativo;Mensalista;Sem Justa Causa; R$ 2.913,11 
27456;Feminino;60;Tempo Integral;Três Rios - RJ;Jurídico;28/09/2004;Ativo;Mensalista;Sem Justa Causa; R$ 7.630,73 
23276;Masculino;38;Tempo Parcial;Niterói - RJ;Manutenção;08/09/2005;Inativo;Mensalista;Sem Justa Causa; R$ 3.750,86 
22646;Masculino;39;Tempo Integral;Arraial do Cabo - RJ;Pesquisa;18/09/2005;Inativo;Mensalista;Sem Justa Causa; R$ 3.488,44 
22732;Masculino;70;Tempo Parcial;Macaé - RJ;Vendas e Marketing;12/10/2005;Inativo;Mensalista;Sem Justa Causa; R$ 5.492,16 
33760;Feminino;44;Tempo Integral;Macaé - RJ;Manutenção;05/04/2006;Inativo;Horista;Pedido de Demissão; R$ 5.699,63 
23686;Masculino;48;Tempo Parcial;Macaé - RJ;Gerente Executivo;16/06/2006;Inativo;Mensalista;Sem Justa Causa; R$ 5.500,92 
33336;Masculino;46;Tempo Integral;Macaé - RJ;RH;18/07/2006;Inativo;Horista;Sem Justa Causa; R$ 3.654,11 
24294;Masculino;34;Tempo Parcial;Macaé - RJ;Jurídico;03/10/2006;Ativo;Mensalista;Sem Justa Causa; R$ 7.895,13 
33160;Masculino;44;Tempo Parcial;Niterói - RJ;Manutenção;28/04/2007;Ativo;Mensalista;Sem Justa Causa; R$ 8.821,23 
24056;Masculino;63;Contrato;Niterói - RJ;RH;14/09/2007;Ativo;Horista;Sem Justa Causa; R$ 3.688,15 
24058;Masculino;35;Tempo Parcial;Arraial do Cabo - RJ;RH;17/10/2007;Inativo;Horista;Sem Justa Causa; R$ 5.210,20 
33410;Masculino;38;Tempo Integral;Niterói - RJ;Pesquisa;13/11/2007;Inativo;Mensalista;Sem Justa Causa; R$ 3.459,14 
24076;Masculino;60;Tempo Parcial;Macaé - RJ;Vendas e Marketing;17/01/2008;Inativo;Mensalista;Sem Justa Causa; R$ 7.487,57 
31820;Masculino;53;Tempo Integral;Angra dos Reis - RJ;RH;18/06/2008;Ativo;Mensalista;Sem Justa Causa; R$ 6.171,94 
22802;Feminino;50;Tempo Integral;Petrópolis - RJ;Jurídico;09/07/2008;Ativo;Mensalista;Sem Justa Causa; R$ 3.731,05 
17834;Masculino;24;Tempo Integral;Macaé - RJ;Vendas e Marketing;19/11/2008;Ativo;Mensalista;Sem Justa Causa; R$ 5.762,45 
23364;Masculino;49;Tempo Parcial;Petrópolis - RJ;TI;24/09/2009;Inativo;Horista;Sem Justa Causa; R$ 4.773,84 
33508;Feminino;41;Contrato;Petrópolis - RJ;Vendas e Marketing;27/04/2010;Inativo;Horista;Sem Justa Causa; R$ 4.556,32 
23606;Masculino;46;Contrato;Petrópolis - RJ;Vendas e Marketing;12/06/2010;Ativo;Mensalista;Sem Justa Causa; R$ 9.932,57 
33376;Feminino;31;Tempo Integral;Niterói - RJ;RH;22/07/2010;Ativo;Mensalista;Sem Justa Causa; R$ 9.936,52 
33676;Masculino;32;Tempo Integral;Três Rios - RJ;RH;31/08/2010;Inativo;Mensalista;Sem Justa Causa; R$ 4.845,43 
24268;Masculino;60;Contrato;Macaé - RJ;RH;19/10/2010;Ativo;Mensalista;Sem Justa Causa; R$ 4.966,81 
24088;Masculino;30;Tempo Integral;Nova Iguaçu - RJ;Jurídico;10/05/2011;Ativo;Mensalista;Sem Justa Causa; R$ 8.955,50 
33338;Feminino;54;Contrato;Três Rios - RJ;Gerente Executivo;07/06/2011;Inativo;Mensalista;Sem Justa Causa; R$ 3.634,54 
30214;Masculino;64;Tempo Integral;Macaé - RJ;Vendas e Marketing;14/07/2011;Ativo;Mensalista;Sem Justa Causa; R$ 8.729,85 
33434;Masculino;50;Tempo Integral;Angra dos Reis - RJ;Jurídico;17/08/2011;Ativo;Mensalista;Sem Justa Causa; R$ 7.124,29 
18094;Masculino;20;Tempo Integral;Nova Iguaçu - RJ;Pesquisa;19/10/2011;Inativo;Mensalista;Pedido de Demissão; R$ 6.719,74 
22810;Feminino;18;Contrato;Angra dos Reis - RJ;TI;08/11/2011;Inativo;Mensalista;Sem Justa Causa; R$ 3.860,24 
23004;Masculino;48;Tempo Parcial;Petrópolis - RJ;Financeiro;01/12/2011;Inativo;Mensalista;Sem Justa Causa; R$ 7.233,17 
33082;Masculino;70;Tempo Parcial;Macaé - RJ;Financeiro;20/04/2012;Ativo;Mensalista;Sem Justa Causa; R$ 5.846,22 
22816;Masculino;66;Tempo Parcial;Macaé - RJ;Gerente Executivo;13/07/2012;Inativo;Mensalista;Sem Justa Causa; R$ 7.967,83 
33948;Masculino;56;Tempo Integral;Macaé - RJ;Pesquisa;22/08/2012;Inativo;Mensalista;Pedido de Demissão; R$ 2.935,44 
22928;Masculino;56;Tempo Integral;Petrópolis - RJ;Operacional;24/08/2012;Inativo;Mensalista;Sem Justa Causa; R$ 5.484,99 
19124;Masculino;57;Tempo Parcial;Macaé - RJ;TI;05/11/2012;Ativo;Mensalista;Pedido de Demissão; R$ 2.766,46 
